City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Bambanglipuro,ID,2021-12-21 17:15:47,overcast clouds,-7.95,110.2833,77.23,89,100,3.47
210,Salou,ES,2021-12-21 17:15:47,few clouds,41.0766,1.1416,54.28,82,20,2.3
211,Guerrero Negro,MX,2021-12-21 17:10:03,overcast clouds,27.9769,-114.0611,65.86,44,85,5.21
212,Hasaki,JP,2021-12-21 17:08:51,clear sky,35.7333,140.8333,36.0,59,0,7.11
213,Berlevag,NO,2021-12-21 17:15:48,broken clouds,70.8578,29.0864,28.35,80,75,13.8
214,Virginia Beach,US,2021-12-21 17:12:59,overcast clouds,36.8529,-75.978,49.01,78,90,11.5
215,Veraval,IN,2021-12-21 17:15:49,clear sky,20.9,70.3667,70.39,57,5,9.24
216,Atuona,PF,2021-12-21 17:08:58,overcast clouds,-9.8,-139.0333,78.46,76,100,16.84
217,Tosya,TR,2021-12-21 17:15:49,overcast clouds,41.0155,34.0401,24.44,87,94,4.63
218,Bathsheba,BB,2021-12-21 17:15:50,scattered clouds,13.2167,-59.5167,84.81,65,40,21.85
219,Tuktoyaktuk,CA,2021-12-21 17:10:10,light snow,69.4541,-133.0374,3.2,85,75,11.5
220,Lensk,RU,2021-12-21 17:15:50,overcast clouds,60.7253,114.9278,-23.84,98,100,4.9
221,Murwara,IN,2021-12-21 17:15:51,clear sky,23.85,80.4,54.77,25,0,1.74
222,Miracema Do Tocantins,BR,2021-12-21 17:15:51,overcast clouds,-9.5618,-48.3967,83.98,73,100,3.8
223,Talaja,IN,2021-12-21 17:15:52,scattered clouds,21.35,72.05,72.64,26,45,5.14
224,Gornyak,RU,2021-12-21 17:15:52,broken clouds,50.9942,81.4661,11.89,97,69,4.34
225,Kawalu,ID,2021-12-21 17:15:52,overcast clouds,-7.3817,108.2082,72.46,96,100,2.28
226,Sintea Mare,RO,2021-12-21 17:15:53,scattered clouds,46.5167,21.6,29.88,74,31,5.01
227,Torbay,CA,2021-12-21 17:05:27,light snow,47.6666,-52.7314,27.57,82,90,8.05
